opportunity_id,account,product,deal_stage,sales_agent,sector,company_size,revenue_tier,regional_office,lead_score,priority
H2MC2E7K,Condax,GTX Plus Basic,Engaging,Vicki Laflamme,medical,Small,Tier 1: < $100M,West,85.1,High Priority
3H3TNCP5,Condax,GTX Plus Basic,Engaging,James Ascencio,medical,Small,Tier 1: < $100M,West,85.1,High Priority
1LY8CAXD,Betasoloin,GTK 500,Engaging,Rosalina Dieter,medical,Medium,Tier 2: $100M-$499M,West,83.2,High Priority
NJNY07JZ,Codehow,GTX Basic,Engaging,Darcel Schlecht,software,Enterprise,Tier 5: > $2.5B,Central,81.3,High Priority
GG85QBTM,Lexiqvolax,GTK 500,Engaging,Elease Gluck,medical,Enterprise,Tier 4: $1B-$2.5B,West,80.9,High Priority
DNBR1VHP,Silis,MG Special,Engaging,Anna Snelling,medical,Corporate,Tier 5: > $2.5B,Central,80.3,High Priority
GI94RTL5,Labdrill,MG Special,Prospecting,Anna Snelling,medical,Corporate,Tier 5: > $2.5B,Central,80.3,High Priority
GVJFKHNL,Silis,MG Special,Engaging,Gladys Colclough,medical,Corporate,Tier 5: > $2.5B,Central,80.3,High Priority
ZQRBJVZF,Dontechi,MG Special,Prospecting,Anna Snelling,software,Corporate,Tier 5: > $2.5B,Central,77.4,High Priority
055Z2OAS,Dontechi,MG Special,Engaging,Anna Snelling,software,Corporate,Tier 5: > $2.5B,Central,77.4,High Priority
WA4TPQ5U,Zoomit,GTX Plus Basic,Engaging,Maureen Marcano,entertainment,Large,Tier 2: $100M-$499M,West,77.4,High Priority
Y3AAS62P,Zoomit,GTX Plus Basic,Engaging,Vicki Laflamme,entertainment,Large,Tier 2: $100M-$499M,West,77.4,High Priority
4H8GZ075,Scotfind,MG Special,Prospecting,Anna Snelling,software,Corporate,Tier 5: > $2.5B,Central,77.4,High Priority
XSEG5T4H,Zoomit,GTX Plus Basic,Engaging,Markita Hansen,entertainment,Large,Tier 2: $100M-$499M,West,77.4,High Priority
IBZI95HI,Zoomit,GTX Plus Basic,Engaging,James Ascencio,entertainment,Large,Tier 2: $100M-$499M,West,77.4,High Priority
LMOAYCUK,Plusstrip,GTX Plus Basic,Engaging,Kami Bicknell,entertainment,Medium,Tier 2: $100M-$499M,West,77.2,High Priority
44Q1W18Y,Zoomit,MG Special,Engaging,Moses Frase,entertainment,Large,Tier 2: $100M-$499M,Central,77.0,High Priority
DW5BQ220,Zoomit,MG Special,Prospecting,Anna Snelling,entertainment,Large,Tier 2: $100M-$499M,Central,77.0,High Priority
ZHPJ73Q6,Inity,GTX Basic,Prospecting,Versie Hillebrand,marketing,Corporate,Tier 4: $1B-$2.5B,Central,76.2,High Priority
S6645YWA,Y-corporation,GTX Basic,Engaging,Kami Bicknell,employment,Corporate,Tier 5: > $2.5B,West,76.1,High Priority
YL29KX3L,Zumgoity,GTX Plus Basic,Prospecting,Anna Snelling,medical,Enterprise,Tier 2: $100M-$499M,Central,75.9,High Priority
YMI68O7S,Zumgoity,GTX Plus Basic,Prospecting,Marty Freudenburg,medical,Enterprise,Tier 2: $100M-$499M,Central,75.9,High Priority
7MP6KLZO,Goodsilron,GTX Basic,Engaging,Moses Frase,marketing,Corporate,Tier 5: > $2.5B,Central,75.7,High Priority
2MKG6ZDD,Domzoom,GTX Basic,Engaging,James Ascencio,entertainment,Large,Tier 2: $100M-$499M,West,75.0,High Priority
Z9S1ZX7W,Condax,GTX Plus Basic,Engaging,Daniell Hammack,medical,Small,Tier 1: < $100M,East,74.5,High Priority
1VFT3UCK,Condax,GTX Plus Basic,Engaging,Boris Faz,medical,Small,Tier 1: < $100M,East,74.5,High Priority
KIKG1BGV,Domzoom,MG Advanced,Engaging,Moses Frase,entertainment,Large,Tier 2: $100M-$499M,Central,74.4,High Priority
7W9S4DCZ,Dalttechnology,MG Special,Engaging,Lajuana Vencill,software,Small,Tier 1: < $100M,Central,74.3,High Priority
P91SQBST,Dalttechnology,MG Special,Engaging,Anna Snelling,software,Small,Tier 1: < $100M,Central,74.3,High Priority
YTGQKC7A,Dalttechnology,MG Special,Engaging,Rosalina Dieter,software,Small,Tier 1: < $100M,West,74.1,High Priority
REO3FMSB,Massive Dynamic,MG Advanced,Engaging,Corliss Cosme,entertainment,Enterprise,Tier 3: $500M-$999M,East,73.9,High Priority
5CAP1055,Kan-code,GTX Plus Pro,Engaging,Kary Hendrixson,software,Corporate,Tier 5: > $2.5B,West,73.9,High Priority
ATMWAQL5,Gogozoom,GTX Plus Basic,Engaging,Niesha Huffines,telecommunications,Medium,Tier 1: < $100M,Central,73.8,High Priority
SCS5H8V1,Vehement Capital Partners,GTK 500,Engaging,Markita Hansen,finance,Large,Tier 3: $500M-$999M,West,73.7,High Priority
ALHQU8W8,Plexzap,GTX Basic,Engaging,Corliss Cosme,retail,Enterprise,Tier 4: $1B-$2.5B,East,73.4,High Priority
DJMPI9TO,Xx-zobam,GTK 500,Engaging,Elease Gluck,entertainment,Corporate,Tier 5: > $2.5B,West,73.3,High Priority
2TYZRE2R,Massive Dynamic,MG Special,Engaging,Moses Frase,entertainment,Enterprise,Tier 3: $500M-$999M,Central,72.9,High Priority
751V8OFM,Funholding,GTX Plus Basic,Engaging,Gladys Colclough,finance,Corporate,Tier 5: > $2.5B,Central,72.0,High Priority
UMD1BA4S,Ganjaflex,MG Special,Prospecting,Anna Snelling,retail,Corporate,Tier 5: > $2.5B,Central,71.7,High Priority
XYLNH45V,Zathunicon,GTX Plus Basic,Engaging,Daniell Hammack,retail,Medium,Tier 1: < $100M,East,71.6,High Priority
J1G2SZKD,Goodsilron,GTX Basic,Engaging,Zane Levy,marketing,Corporate,Tier 5: > $2.5B,West,71.6,High Priority
DJFMG9QI,Plusstrip,MG Special,Engaging,Moses Frase,entertainment,Medium,Tier 2: $100M-$499M,Central,71.4,High Priority
MV227O65,Sonron,GTX Plus Pro,Engaging,Maureen Marcano,telecommunications,Corporate,Tier 4: $1B-$2.5B,West,71.4,High Priority
4ZB2W6O7,Plusstrip,MG Special,Engaging,Anna Snelling,entertainment,Medium,Tier 2: $100M-$499M,Central,71.4,High Priority
7A3R2M9T,Sonron,GTX Plus Pro,Engaging,Vicki Laflamme,telecommunications,Corporate,Tier 4: $1B-$2.5B,West,71.4,High Priority
AE3YDLK3,Xx-zobam,GTX Basic,Prospecting,Jonathan Berthelot,entertainment,Corporate,Tier 5: > $2.5B,Central,71.2,High Priority
GY10EROJ,Cheers,GTX Basic,Engaging,Jonathan Berthelot,entertainment,Corporate,Tier 5: > $2.5B,Central,71.2,High Priority
RGW7PKJ6,Xx-zobam,GTX Basic,Prospecting,Marty Freudenburg,entertainment,Corporate,Tier 5: > $2.5B,Central,71.2,High Priority
3N46WQVI,Faxquote,MG Advanced,Engaging,Hayden Neloms,telecommunications,Corporate,Tier 4: $1B-$2.5B,West,71.1,High Priority
P25KLAD2,Rangreen,MG Advanced,Prospecting,Lajuana Vencill,technology,Corporate,Tier 5: > $2.5B,Central,71.1,High Priority
NT38RBZY,Gogozoom,GTX Basic,Prospecting,Jonathan Berthelot,telecommunications,Medium,Tier 1: < $100M,Central,71.1,High Priority
WQ5U8PPM,Umbrella Corporation,GTX Plus Basic,Engaging,Niesha Huffines,finance,Corporate,Tier 4: $1B-$2.5B,Central,70.9,High Priority
CBQRKYZP,Silis,GTX Plus Pro,Engaging,Marty Freudenburg,medical,Corporate,Tier 5: > $2.5B,Central,70.8,High Priority
B26TNOGQ,Silis,GTX Plus Pro,Prospecting,Jonathan Berthelot,medical,Corporate,Tier 5: > $2.5B,Central,70.8,High Priority
I3KQNE9V,Isdom,GTX Plus Pro,Engaging,Darcel Schlecht,medical,Enterprise,Tier 5: > $2.5B,Central,70.8,High Priority
1FEHFRKX,Labdrill,GTX Plus Pro,Engaging,Anna Snelling,medical,Corporate,Tier 5: > $2.5B,Central,70.8,High Priority
HFUZQFQQ,Groovestreet,GTX Basic,Engaging,Markita Hansen,retail,Medium,Tier 2: $100M-$499M,West,70.7,High Priority
D193SPY4,Plussunin,MG Special,Engaging,Violet Mclelland,retail,Enterprise,Tier 4: $1B-$2.5B,East,70.7,High Priority
N07K7DR7,Plexzap,MG Special,Engaging,Rosie Papadopoulos,retail,Enterprise,Tier 4: $1B-$2.5B,East,70.7,High Priority
W1XRTUT2,Finhigh,MG Special,Engaging,Versie Hillebrand,finance,Enterprise,Tier 4: $1B-$2.5B,Central,70.6,High Priority
I93XL6Q9,Finhigh,MG Special,Prospecting,Anna Snelling,finance,Enterprise,Tier 4: $1B-$2.5B,Central,70.6,High Priority
V3G1HBTZ,Nam-zim,GTX Basic,Engaging,Lajuana Vencill,services,Enterprise,Tier 2: $100M-$499M,Central,70.3,High Priority
JCPQZ2SN,Cheers,GTX Plus Basic,Engaging,Hayden Neloms,entertainment,Corporate,Tier 5: > $2.5B,West,70.3,High Priority
HMWIP0F2,Finjob,MG Special,Engaging,Darcel Schlecht,employment,Enterprise,Tier 4: $1B-$2.5B,Central,70.2,High Priority
FJHKS2T2,Plussunin,GTX Basic,Prospecting,Niesha Huffines,retail,Enterprise,Tier 4: $1B-$2.5B,Central,69.9,Medium Priority
MBPJUJ7F,Plexzap,GTX Basic,Engaging,Jonathan Berthelot,retail,Enterprise,Tier 4: $1B-$2.5B,Central,69.9,Medium Priority
ETJR6FUL,Plexzap,GTX Basic,Prospecting,Marty Freudenburg,retail,Enterprise,Tier 4: $1B-$2.5B,Central,69.9,Medium Priority
P7MSQO38,Yearin,GTX Basic,Engaging,Anna Snelling,retail,Enterprise,Tier 4: $1B-$2.5B,Central,69.9,Medium Priority
HJRM13DI,Treequote,MG Special,Engaging,Marty Freudenburg,telecommunications,Corporate,Tier 5: > $2.5B,Central,69.8,Medium Priority
PXNDLIL2,Initech,MG Special,Engaging,Lajuana Vencill,telecommunications,Corporate,Tier 5: > $2.5B,Central,69.8,Medium Priority
CAONNFXN,Kinnamplus,GTX Basic,Prospecting,Darcel Schlecht,retail,Enterprise,Tier 3: $500M-$999M,Central,69.8,Medium Priority
